날짜,기기 카테고리,세션 캠페인,세션 수동 광고 콘텐츠,세션 수동 검색어,inquiry_kakao,Kakao_Click,Call_Click,NaverPlace_Click,leveltest,방문상담신청,간편상담신청,무료청강신청,purchase_card,purchase_Npay,purchase_transfer
20260514,mobile,contents,instagram,specialevent_im1_260504,0,0,0,0,1,0,0,1,0,0,0
20260515,mobile,2026_06-4_ieltsacdemy_cv_260513,06-4_academy_mainac1_capital,i_cv_may3days_260513,0,0,0,0,0,0,0,2,0,0,0
20260515,mobile,260402_ielts_bs,academy_main_homelink,EDM어학원,0,0,1,0,0,1,0,0,0,0,0
20260516,mobile,2026_03-5_ieltsacdemy_cv_260515,03-5_academy_main_capital,v_cv_danielT_shortterm_260515,2,0,0,0,0,0,0,0,0,0,0
20260516,mobile,260402_ssjstudent_bs,academy_main_homelink,EDM인강,1,0,1,0,0,0,0,0,0,0,0
20260516,mobile,DM_03_IELTS ACADEMY_월별특강_IMG (수도권),academy_special_capital,i_dm_june_freespecial_review_260422,2,0,0,0,0,0,0,0,0,0,0
20260516,mobile,PM_01_IELTS ACADEMY (수도권),01-06_academy_review_capital,review_sub3_260513,2,0,0,0,0,0,0,0,0,0,0
20260517,mobile,(cross-network),(not set),(not set),1,1,0,0,0,0,0,0,0,0,0
20260517,mobile,2026_03-4_ieltsacdemy_cv_260422,academy_main_capital,v_cv_ielts1.8months_260422,1,0,0,0,0,0,1,0,0,0,0
20260517,mobile,DM_03_IELTS ACADEMY_월별특강_IMG (수도권),academy_special_capital,i_dm_june_freespecial_review_260422,1,1,0,0,0,0,0,0,0,0,0
20260517,mobile,DM_04_IELTS ACADEMY_IMG (수도권),04-02_academy_main_capital,i_dm_boostscorefast_universe_260423,2,0,0,0,0,0,0,0,0,0,0
20260517,mobile,PM_01_IELTS ACADEMY (수도권),01-06_academy_mainac1_capital,academy_sub2_260513,0,0,1,1,0,0,0,0,0,0,0
20260518,mobile,(not set),(not set),(not set),0,0,0,0,0,0,0,0,1,1,0
20260518,mobile,DM_04_IELTS ACADEMY_IMG (수도권),04-02_academy_main_capital,i_dm_boostscorefast_universe_260423,1,1,0,0,0,0,0,0,0,0,0
20260518,mobile,chanel_menu,academy_main,260327,1,1,0,0,0,0,0,0,0,0,0
20260519,mobile,PM_01_IELTS ACADEMY (수도권),01-06_academy_leveltest_capital,leveltest_sub1_260513,2,0,0,0,0,0,0,0,0,0,0
20260520,mobile,2026_03-5_ieltsacdemy_cv_260515,03-5_academy_main_capital,v_cv_sophiaT_shortterm_260515,0,0,0,1,1,0,0,0,0,0,0
20260520,mobile,260402_cambridge_bs,academy_main_homelink,EDM아이엘츠,0,0,1,1,0,0,0,0,0,0,0
20260520,mobile,DM_05_IELTS ACADEMY_VID (수도권),05-01_academy_main_capital,v_dm_professional_instructor_260423,1,1,0,0,0,0,0,0,0,0,0
20260521,mobile,260402_cambridge_bs,academy_main_homelink,EDM어학원,0,0,0,1,0,0,0,0,1,0,0
20260521,mobile,DM_04_IELTS ACADEMY_IMG (수도권),04-02_academy_main_capital,i_dm_boostscorefast_universe_260423,0,0,1,1,0,0,0,0,0,0,0
20260521,mobile,PM_01_IELTS ACADEMY (수도권),01-06_academy_leveltest_capital,leveltest_sub1_260513,1,1,0,0,0,0,0,0,0,0,0
20260521,mobile,PM_01_IELTS ACADEMY (수도권),01-06_academy_mainac1_capital,academy_sub2_260513,2,0,0,0,0,0,0,0,0,0,0
20260521,mobile,PM_01_IELTS ACADEMY (수도권),01-08_academy_leveltest_capital,leveltest_sub1_260522,1,1,0,0,0,0,0,0,0,0,0
20260521,mobile,PM_01_IELTS ACADEMY (수도권),01-08_academy_review_capital,review_sub3_260522,1,1,0,0,0,0,0,0,0,0,0
20260521,mobile,PM_01_IELTS ACADEMY (수도권),academy_leveltest_capital,pm_ieltsleveltest_260417,1,1,0,0,0,0,0,0,0,0,0
20260522,mobile,(cross-network),(not set),(not set),1,1,0,0,0,0,0,0,0,0,0
20260522,mobile,(어학원) 디맨드젠 캠페인_온라인특강_260210,디맨드젠_검색+리타겟_관심사,IMG_온라인특강2_260210,1,1,0,0,0,0,0,0,0,0,0
20260522,mobile,(어학원) 디맨드젠 캠페인_온라인특강_260210,디맨드젠_검색+리타겟_관심사,IMG_온라인특강3_260210,1,1,0,0,0,0,0,0,0,0,0
20260522,mobile,260402_ielts_bs,academy_main_maintext,EDM아이엘츠,0,0,1,0,1,0,0,0,0,0,0
20260522,mobile,chanel_menu,academy_special,260427,1,1,0,0,0,0,0,0,0,0,0
20260523,mobile,(어학원) 디맨드젠 캠페인_온라인특강_260210,디맨드젠_검색+리타겟_관심사,IMG_온라인특강2_260210,1,1,0,0,0,0,0,0,0,0,0
20260523,mobile,DM_03_IELTS ACADEMY_월별특강_IMG (수도권),academy_special_capital,i_dm_june_freespecial_review_260422,1,1,0,0,0,0,0,0,0,0,0
20260523,mobile,DM_04_IELTS ACADEMY_IMG (수도권),04-02_academy_main_capital,i_dm_boostscorefast_universe_260423,1,1,0,0,0,0,0,0,0,0,0
20260523,mobile,DM_04_IELTS ACADEMY_IMG (수도권),04-04_academy_main_capital,i_dm_beforevacation_track_260522,1,1,0,0,0,0,0,0,0,0,0
20260523,mobile,PM_01_IELTS ACADEMY (수도권),01-07_academy_mainac1_capital,pm_june_start_event_260521,1,1,0,0,0,0,0,0,0,0,0
20260524,mobile,2026_03-4_ieltsacdemy_cv_260422,academy_main_capital,v_cv_ielts1.8months_260422,0,0,0,0,1,1,0,0,0,0,0
20260524,mobile,2026_03-6_ieltsacdemy_cv_260521,03-6_academy_mainac1_capital,i_cv_june_ieltsstart_260521,0,0,0,0,0,2,0,0,0,0,0
20260524,mobile,DM_04_IELTS ACADEMY_IMG (수도권),04-02_academy_main_capital,i_dm_boostscorefast_universe_260423,0,0,0,2,0,0,0,0,0,0,0
20260524,mobile,DM_04_IELTS ACADEMY_IMG (수도권),04-04_academy_main_capital,i_dm_ieltsstart_book_260522,2,0,0,0,0,0,0,0,0,0,0
20260525,mobile,DM_04_IELTS ACADEMY_IMG (수도권),04-02_academy_main_capital,i_dm_boostscorefast_universe_260423,1,0,0,1,0,0,0,0,0,0,0
20260526,mobile,(not set),(not set),(not set),1,0,0,0,0,0,0,0,1,0,0
20260526,mobile,2026_03-6_ieltsacdemy_cv_260521,03-6_academy_mainac1_capital,i_cv_june_ieltsstart_260521,0,0,0,0,0,1,0,1,0,0,0
20260526,mobile,DM_04_IELTS ACADEMY_IMG (수도권),04-02_academy_main_capital,i_dm_boostscorefast_universe_260423,1,1,0,0,0,0,0,0,0,0,0
20260526,mobile,PM_01_IELTS ACADEMY (수도권),academy_leveltest_capital,pm_ieltsleveltest_260417,0,1,0,0,1,0,0,0,0,0,0
20260527,mobile,00_edm아이엘츠_브랜드 (전국),(not set),(not provided),0,0,0,0,1,1,0,0,0,0,0
20260527,mobile,00_edm아이엘츠_브랜드 (전국),academy_main_all_pass,edm,1,0,0,0,1,0,0,0,0,0,0
20260527,mobile,260402_cambridge_bs,academy_main_homelink,EDM아이엘츠,0,0,1,0,0,0,0,0,0,1,0
20260527,mobile,260402_ssjstudent_bs,academy_main_homelink,EDM아이엘츠,1,1,0,0,0,0,0,0,0,0,0
20260527,mobile,DM_03_IELTS ACADEMY_월별특강_IMG (수도권),academy_special_capital,i_dm_june_freespecial_review_260422,1,1,0,0,0,0,0,0,0,0,0
20260527,mobile,DM_06_IELTS ACADEMY_교재이벤트_IMG (수도권),06-04_academy_mainac1_capital,i_dm_june_calendar_260526,1,0,1,0,0,0,0,0,0,0,0
20260527,mobile,PM_01_IELTS ACADEMY (수도권),01-07_academy_mainac1_capital,pm_june_start_event_260521,0,0,1,0,0,1,0,0,0,0,0
20260527,mobile,PM_01_IELTS ACADEMY (수도권),01-08_academy_leveltest_capital,leveltest_sub1_260522,1,1,0,0,0,0,0,0,0,0,0
20260527,mobile,PM_01_IELTS ACADEMY (수도권),01-08_academy_main_capital,academy_sub2_260522,0,0,1,1,0,0,0,0,0,0,0
20260528,mobile,2026_03-4_ieltsacdemy_cv_260422,academy_main_capital,v_cv_ielts1.8months_260422,1,0,0,1,0,0,0,0,0,0,0
20260528,mobile,2026_03-6_ieltsacdemy_cv_260521,03-6_academy_mainac1_capital,i_cv_june_ieltsstart_260521,1,0,1,0,0,0,0,0,0,0,0
20260528,mobile,260402_ielts_bs,academy_main_homelink,EDMIELTS,1,0,0,1,0,0,0,0,0,0,0
20260528,mobile,260402_ielts_bs,academy_main_homelink,EDM아이엘츠,1,0,0,0,0,0,1,0,0,0,0
20260528,mobile,DM_04_IELTS ACADEMY_IMG (수도권),04-04_academy_main_capital,i_dm_ieltstiming_ocean_260522,1,1,0,0,0,0,0,0,0,0,0
20260528,mobile,PM_01_IELTS ACADEMY (수도권),01-08_academy_leveltest_capital,leveltest_sub1_260522,1,1,0,0,0,0,0,0,0,0,0
20260528,mobile,PM_01_IELTS ACADEMY (수도권),academy_leveltest_capital,pm_ieltsleveltest_260417,1,1,0,0,0,0,0,0,0,0,0
20260529,mobile,(cross-network),(not set),(not set),1,1,0,0,0,0,0,0,0,0,0
20260529,mobile,(not set),(not set),(not set),0,0,0,0,0,0,0,0,0,2,0
20260529,mobile,260402_ielts_bs,academy_main_homelink,EDM아이엘츠,2,0,0,0,0,0,0,0,0,0,0
20260529,mobile,PM_01_IELTS ACADEMY (수도권),01-08_academy_leveltest_capital,leveltest_sub1_260522,1,1,0,0,0,0,0,0,0,0,0
20260530,mobile,(어학원) 디맨드젠 캠페인_온라인특강_260210,디맨드젠_검색+리타겟_관심사,IMG_온라인특강2_260210,1,1,0,0,0,0,0,0,0,0,0
20260530,mobile,260402_ssjstudent_bs,academy_main_homelink,EDM아이엘츠,2,0,0,0,0,0,0,0,0,0,0
20260530,mobile,DM_06_IELTS ACADEMY_교재이벤트_IMG (수도권),06-04_academy_mainac1_capital,i_dm_june_beforefree_260526,1,1,0,0,0,0,0,0,0,0,0
20260530,mobile,ieltsenglishacadamy,content-caption,260312,1,1,0,0,0,0,0,0,0,0,0
20260531,mobile,(어학원) 디맨드젠 캠페인_온라인특강_260210,디맨드젠_검색+리타겟_관심사,IMG_온라인특강2_260210,1,1,0,0,0,0,0,0,0,0,0
20260531,mobile,260402_cambridge_bs,academy_main_homelink,EDM아이엘츠,0,0,0,0,1,0,0,0,0,0,1
20260531,mobile,DM_06_IELTS ACADEMY_교재이벤트_IMG (수도권),06-04_academy_mainac1_capital,i_dm_june_calendar_260526,1,1,0,0,0,0,0,0,0,0,0
20260531,mobile,chanel_menu,academy_special,260427,1,1,0,0,0,0,0,0,0,0,0
20260601,mobile,00_edm아이엘츠_브랜드 (전국),academy_main_all_leveltest,이디엠에듀케이션,0,0,1,0,0,0,1,0,0,0,0
20260601,mobile,260402_cambridge_bs,academy_main_maintext,EDM아이엘츠,0,0,0,2,0,0,0,0,0,0,0
20260601,mobile,260402_ssjstudent_bs,academy_main_homelink,EDM아이엘츠,0,0,2,0,0,0,0,0,0,0,0
20260601,mobile,DM_01_IELTS ACADEMY_VID (수도권),01-01_academy_main_capital,v_dm_ielts7.5_260423,0,1,1,0,0,0,0,0,0,0,0
20260601,mobile,DM_04_IELTS ACADEMY_IMG (수도권),04-04_academy_main_capital,i_dm_ieltstiming_timer_260522,0,2,0,0,0,0,0,0,0,0,0
20260601,mobile,DM_06_IELTS ACADEMY_교재이벤트_IMG (수도권),06-04_academy_mainac1_capital,i_dm_june_calendar_260526,0,0,1,1,0,0,0,0,0,0,0
20260601,mobile,PM_01_IELTS ACADEMY (수도권),01-08_academy_leveltest_capital,leveltest_sub1_260522,0,2,0,0,0,0,0,0,0,0,0
20260601,mobile,PM_01_IELTS ACADEMY (수도권),01-08_academy_review_capital,review_sub3_260522,0,2,0,0,0,0,0,0,0,0,0
20260601,mobile,PM_01_IELTS ACADEMY (수도권),academy_leveltest_capital,pm_ieltsleveltest_260417,0,2,0,0,0,0,0,0,0,0,0
20260602,mobile,(어학원) 디맨드젠 캠페인_온라인특강_260210,디맨드젠_검색+리타겟_관심사,IMG_온라인특강2_260210,1,1,0,0,0,0,0,0,0,0,0
20260602,mobile,00_edm아이엘츠_브랜드 (전국),academy_main_all_pass,edm,1,0,0,0,0,0,1,0,0,0,0
20260602,mobile,2026_03-6_ieltsacdemy_cv_260602,03-6_academy_mainac1_capital,i_cv_june_ieltsstart_260602,0,0,0,0,0,1,0,1,0,0,0
20260602,mobile,260402_ielts_bs,academy_main_homelink,EDM아이엘츠,2,0,0,0,0,0,0,0,0,0,0
20260602,mobile,PM_01_IELTS ACADEMY (수도권),01-08_academy_leveltest_capital,leveltest_sub1_260522,1,1,0,0,0,0,0,0,0,0,0
20260602,mobile,chanel_menu,academy_special,260427,1,1,0,0,0,0,0,0,0,0,0
20260603,mobile,(어학원) 디맨드젠 캠페인_온라인특강_260210,디맨드젠_검색+리타겟_관심사,IMG_온라인특강2_260210,1,1,0,0,0,0,0,0,0,0,0
20260603,mobile,00_edm아이엘츠_브랜드 (전국),(not set),(not provided),0,0,1,0,0,0,1,0,0,0,0
20260603,mobile,2026_03-6_ieltsacdemy_cv_260602,03-6_academy_mainac1_capital,i_cv_june_ieltsstart_260602,0,0,0,0,0,2,0,0,0,0,0
20260603,mobile,PM_01_IELTS ACADEMY (수도권),01-08_academy_main_capital,academy_sub2_260522,0,0,2,0,0,0,0,0,0,0,0
20260604,mobile,(어학원) 디맨드젠 캠페인_온라인특강_260210,디맨드젠_검색+리타겟_관심사,IMG_온라인특강2_260210,1,1,0,0,0,0,0,0,0,0,0
20260604,mobile,2026_01-0_importantmain_capital_260413,academy_main_capital_brandA_260413,아이엘츠어학원,1,0,0,0,0,0,1,0,0,0,0
20260604,mobile,2026_03-5_ieltsacdemy_cv_260515,03-5_academy_main_capital,v_cv_danielT_completeness_260515,0,0,0,0,0,2,0,0,0,0,0
20260604,mobile,2026_03-6_ieltsacdemy_cv_260602,03-6_academy_mainac1_capital,i_cv_june_ieltsstart_260602,0,0,0,0,0,1,0,1,0,0,0
20260604,mobile,260402_ssjstudent_bs,academy_main_mainimage,EDM아이엘츠,0,0,1,0,0,1,0,0,0,0,0
20260604,mobile,DM_03_IELTS ACADEMY_월별특강_IMG (수도권),academy_special_capital,i_dm_june_freespecial_260422,1,1,0,0,0,0,0,0,0,0,0
20260604,mobile,DM_04_IELTS ACADEMY_IMG (수도권),04-04_academy_main_capital,i_dm_beforevacation_track_260522,0,0,1,1,0,0,0,0,0,0,0
20260604,mobile,PM_01_IELTS ACADEMY (수도권),01-08_academy_review_capital,review_sub3_260522,1,1,0,0,0,0,0,0,0,0,0
20260605,mobile,(어학원) 디맨드젠 캠페인_온라인특강_260210,디맨드젠_검색+리타겟_관심사,IMG_온라인특강3_260210,1,1,0,0,0,0,0,0,0,0,0
20260605,mobile,00_edm아이엘츠_브랜드 (전국),academy_main_all_pass,edm아이엘츠,0,0,0,0,0,0,0,0,1,0,1
20260605,mobile,260402_cambridge_bs,academy_main_sum3,EDM아이엘츠,0,0,1,0,0,1,0,0,0,0,0
20260605,mobile,260402_ssjstudent_bs,academy_main_homelink,EDM아이엘츠,0,0,0,0,1,0,0,0,0,1,0
20260605,mobile,DM_04_IELTS ACADEMY_IMG (수도권),04-04_academy_main_capital,i_dm_ieltsstart_book_260522,1,1,0,0,0,0,0,0,0,0,0
20260605,mobile,PM_01_IELTS ACADEMY (수도권),01-08_academy_leveltest_capital,leveltest_sub1_260522,1,1,0,0,0,0,0,0,0,0,0
20260605,mobile,PM_01_IELTS ACADEMY (수도권),01-08_academy_main_capital,academy_sub2_260522,1,0,0,1,0,0,0,0,0,0,0
20260605,mobile,PM_01_IELTS ACADEMY (수도권),academy_leveltest_capital,pm_ieltsleveltest_260417,2,0,0,0,0,0,0,0,0,0,0
20260606,mobile,00_edm아이엘츠_브랜드 (전국),academy_main_all_1st,edm학원,0,0,1,0,0,1,0,0,0,0,0
20260606,mobile,2026_03-4_ieltsacdemy_cv_260422,academy_main_capital,v_cv_ielts1.8months_260422,2,0,0,0,0,0,0,0,0,0,0
20260606,mobile,260402_cambridge_bs,academy_main_maintext,EDM아이엘츠,2,0,0,0,0,0,0,0,0,0,0
20260606,mobile,260402_ielts_bs,academy_main_homelink,EDM아이엘츠,1,0,1,0,0,0,0,0,0,0,0
20260606,mobile,DM_03_IELTS ACADEMY_월별특강_IMG (수도권),academy_special_capital,i_dm_june_freespecial_260422,1,1,0,0,0,0,0,0,0,0,0
20260606,mobile,DM_03_IELTS ACADEMY_월별특강_IMG (수도권),academy_special_capital,i_dm_june_freespecial_review_260422,1,1,0,0,0,0,0,0,0,0,0
20260606,mobile,DM_04_IELTS ACADEMY_IMG (수도권),04-04_academy_main_capital,i_dm_ieltsfirst_book_260522,1,1,0,0,0,0,0,0,0,0,0
20260606,mobile,DM_04_IELTS ACADEMY_IMG (수도권),04-04_academy_main_capital,i_dm_targetscore_plan_260522,1,1,0,0,0,0,0,0,0,0,0
20260607,mobile,(cross-network),(not set),(not set),1,1,0,0,0,0,0,0,0,0,0
20260607,mobile,2026_03-4_ieltsacdemy_cv_260422,academy_main_capital,v_cv_ielts1.8months_260422,0,0,0,0,0,0,1,1,0,0,0
20260607,mobile,2026_03-5_ieltsacdemy_cv_260515,03-5_academy_main_capital,v_cv_danielT_shortterm_260515,0,0,0,0,1,0,1,0,0,0,0
20260607,mobile,2026_03-6_ieltsacdemy_cv_260602,03-6_academy_mainac1_capital,i_cv_june_ieltsstart_260602,0,0,0,0,0,0,2,0,0,0,0
20260607,mobile,DM_03_IELTS ACADEMY_월별특강_IMG (수도권),academy_special_capital,i_dm_june_freespecial_review_260422,1,1,0,0,0,0,0,0,0,0,0
20260607,mobile,DM_04_IELTS ACADEMY_IMG (수도권),04-04_academy_main_capital,i_dm_ielts_instructor_260522,1,1,0,0,0,0,0,0,0,0,0
20260607,mobile,DM_04_IELTS ACADEMY_IMG (수도권),04-04_academy_main_capital,i_dm_ieltsfirst_book_260522,1,1,0,0,0,0,0,0,0,0,0
20260607,mobile,DM_04_IELTS ACADEMY_IMG (수도권),04-04_academy_main_capital,i_dm_ieltstiming_timer_260522,1,1,0,0,0,0,0,0,0,0,0
20260608,mobile,2026_03-6_ieltsacdemy_cv_260602,03-6_academy_mainac1_capital,i_cv_june_ieltsstart_260602,0,0,0,0,0,1,0,1,0,0,0
20260608,mobile,2026_03-6_ieltsacdemy_cv_260608,03-6_academy_leveltest_capital,i_cv_zero_leveltest_260608,1,1,0,0,0,0,0,0,0,0,0
20260608,mobile,DM_01_IELTS ACADEMY_VID (수도권),01-01_academy_main_capital,v_dm_ielts7.5_260423,1,0,0,1,0,0,0,0,0,0,0
20260608,mobile,DM_04_IELTS ACADEMY_IMG (수도권),04-02_academy_main_capital,i_dm_boostscorefast_universe_260423,2,0,0,0,0,0,0,0,0,0,0
20260609,mobile,260402_ssjstudent_bs,academy_main_homelink,EDM아이엘츠,1,0,1,0,0,0,0,0,0,0,0
20260609,mobile,DM_07_IELTS ACADEMY_IMG (수도권),07-02_academy_mainac1_capital,i_dm_zero_leveltest_260608,1,1,0,0,0,0,0,0,0,0,0
20260609,mobile,PM_01_IELTS ACADEMY (수도권),01-08_academy_main_capital,academy_sub2_260522,1,1,0,0,0,0,0,0,0,0,0
20260609,mobile,PM_01_IELTS ACADEMY (수도권),01-08_academy_review_capital,review_sub3_260522,2,0,0,0,0,0,0,0,0,0,0
20260610,mobile,2026_03-5_ieltsacdemy_cv_260515,03-5_academy_main_capital,v_cv_danielT_completeness_260515,0,0,0,0,1,0,1,0,0,0,0
20260610,mobile,DM_07_IELTS ACADEMY_IMG (수도권),07-02_academy_mainac1_capital,i_dm_zero_leveltest_260608,1,1,0,0,0,0,0,0,0,0,0
